Year,State,Food-at-home sales with taxes and tips (millions of nominal U.S. dollars),Food-away-from-home sales with taxes and tips (millions of nominal U.S. dollars),Total food sales with taxes and tips (millions of nominal U.S. dollars),Food-at-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Food-away-from-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Total food sales with taxes and tips (millions of constant U.S. dollars (1988=100))
2016,Georgia,"24,593.89","27,761.50","52,355.39","11,952.24","12,849.10","24,801.34"
2017,Georgia,"26,042.05","29,742.74","55,784.79","12,684.21","13,494.37","26,178.58"
2018,Georgia,"27,119.40","31,253.54","58,372.94","13,169.57","13,886.78","27,056.35"
2019,Georgia,"28,171.83","32,996.27","61,168.10","13,587.13","14,223.83","27,810.96"
2020,Georgia,"30,407.47","30,219.67","60,627.14","14,166.86","12,680.67","26,847.53"
2021,Georgia,"32,515.26","36,481.01","68,996.27","14,645.83","14,738.10","29,383.93"
2022,Georgia,"35,867.77","41,305.51","77,173.28","14,505.35","15,483.92","29,989.27"
2023,Georgia,"36,762.52","44,109.93","80,872.45","14,113.02","15,437.08","29,550.10"
2024,Georgia,"37,743.21","45,655.02","83,398.23","14,311.50","15,380.18","29,691.68"
1997,Hawaii,"1,679.18","2,528.44","4,207.62","1,200.59","1,973.34","3,173.93"
1998,Hawaii,"1,650.99","2,632.52","4,283.51","1,145.26","2,001.12","3,146.38"
1999,Hawaii,"1,661.29","2,775.70","4,436.99","1,129.52","2,065.40","3,194.92"
2000,Hawaii,"1,689.38","3,025.13","4,714.51","1,125.61","2,201.77","3,327.38"
2001,Hawaii,"1,779.16","3,064.02","4,843.18","1,137.88","2,161.78","3,299.66"
2002,Hawaii,"1,836.51","3,144.27","4,980.78","1,153.02","2,147.57","3,300.59"
2003,Hawaii,"1,884.20","3,332.10","5,216.30","1,151.89","2,232.58","3,384.47"
2004,Hawaii,"2,016.50","3,643.07","5,659.57","1,188.46","2,368.10","3,556.56"
2005,Hawaii,"2,148.81","3,853.73","6,002.54","1,255.00","2,418.42","3,673.42"
2006,Hawaii,"2,231.62","4,080.00","6,311.62","1,287.85","2,487.45","3,775.30"
2007,Hawaii,"2,359.06","4,284.32","6,643.38","1,300.18","2,521.63","3,821.81"
2008,Hawaii,"2,552.68","4,345.53","6,898.21","1,325.15","2,463.93","3,789.08"
2009,Hawaii,"2,601.52","4,267.78","6,869.30","1,360.40","2,346.73","3,707.13"
2010,Hawaii,"2,713.94","4,374.24","7,088.18","1,427.76","2,377.38","3,805.14"
2011,Hawaii,"2,887.75","4,690.90","7,578.65","1,448.42","2,493.51","3,941.93"
2012,Hawaii,"2,965.29","4,948.71","7,914.00","1,460.95","2,552.46","4,013.41"
2013,Hawaii,"3,028.07","5,173.25","8,201.32","1,478.65","2,613.24","4,091.89"
2014,Hawaii,"3,119.68","5,536.64","8,656.32","1,482.00","2,729.36","4,211.36"
2015,Hawaii,"3,216.47","5,982.72","9,199.19","1,502.79","2,866.85","4,369.64"
2016,Hawaii,"3,294.40","6,351.09","9,645.49","1,557.08","2,946.66","4,503.74"
2017,Hawaii,"3,362.55","6,821.21","10,183.76","1,594.22","3,064.33","4,658.55"
2018,Hawaii,"3,613.29","7,095.90","10,709.19","1,705.65","3,082.71","4,788.36"
2019,Hawaii,"3,778.06","7,465.20","11,243.26","1,756.65","3,131.80","4,888.45"
2020,Hawaii,"3,942.78","5,395.28","9,338.06","1,762.94","2,164.28","3,927.22"
2021,Hawaii,"4,266.77","7,243.41","11,510.18","1,828.08","2,770.56","4,598.64"
2022,Hawaii,"4,749.29","8,658.09","13,407.38","1,826.51","3,086.80","4,913.31"
2023,Hawaii,"4,775.57","9,689.71","14,465.28","1,755.38","3,215.05","4,970.43"
2024,Hawaii,"4,804.11","10,312.57","15,116.68","1,741.50","3,270.49","5,011.99"
1997,Idaho,"1,782.88","1,178.87","2,961.75","1,274.74",920.05,"2,194.79"
1998,Idaho,"1,861.50","1,252.99","3,114.49","1,291.29",952.47,"2,243.76"
1999,Idaho,"2,011.29","1,303.79","3,315.08","1,367.49",970.15,"2,337.64"
2000,Idaho,"2,128.60","1,416.53","3,545.13","1,418.26","1,030.99","2,449.25"
2001,Idaho,"2,212.55","1,481.05","3,693.60","1,415.06","1,044.93","2,459.99"
2002,Idaho,"2,259.60","1,532.51","3,792.11","1,418.65","1,046.72","2,465.37"
2003,Idaho,"2,354.35","1,622.42","3,976.77","1,439.32","1,087.06","2,526.38"
2004,Idaho,"2,504.93","1,737.81","4,242.74","1,476.33","1,129.62","2,605.95"
2005,Idaho,"2,707.22","1,877.10","4,584.32","1,581.14","1,177.98","2,759.12"
2006,Idaho,"2,881.21","2,004.02","4,885.23","1,662.73","1,221.79","2,884.52"
2007,Idaho,"3,098.72","2,183.86","5,282.58","1,707.84","1,285.36","2,993.20"
2008,Idaho,"3,330.09","2,258.28","5,588.37","1,728.71","1,280.45","3,009.16"
2009,Idaho,"3,212.43","2,170.37","5,382.80","1,679.86","1,193.42","2,873.28"
2010,Idaho,"3,263.96","2,199.87","5,463.83","1,717.11","1,195.62","2,912.73"
2011,Idaho,"3,413.28","2,325.82","5,739.10","1,712.01","1,236.32","2,948.33"
2012,Idaho,"3,592.52","2,434.32","6,026.84","1,769.98","1,255.58","3,025.56"
2013,Idaho,"3,770.94","2,595.22","6,366.16","1,841.39","1,310.96","3,152.35"
2014,Idaho,"3,989.25","2,817.00","6,806.25","1,895.09","1,388.68","3,283.77"
2015,Idaho,"4,138.37","3,118.84","7,257.21","1,933.52","1,494.51","3,428.03"
2016,Idaho,"4,249.65","3,397.98","7,647.63","2,008.57","1,576.53","3,585.10"
2017,Idaho,"4,524.62","3,681.01","8,205.63","2,145.17","1,653.64","3,798.81"
2018,Idaho,"4,723.01","3,934.69","8,657.70","2,229.49","1,709.37","3,938.86"
2019,Idaho,"5,048.85","4,232.28","9,281.13","2,347.52","1,775.52","4,123.04"
2020,Idaho,"5,579.60","4,159.20","9,738.80","2,494.82","1,668.44","4,163.26"
2021,Idaho,"6,070.73","5,236.62","11,307.35","2,600.98","2,002.98","4,603.96"
2022,Idaho,"6,969.38","5,827.92","12,797.30","2,680.33","2,077.78","4,758.11"
2023,Idaho,"7,327.32","6,124.97","13,452.29","2,693.34","2,032.26","4,725.60"
2024,Idaho,"7,707.34","6,310.85","14,018.19","2,793.93","2,001.40","4,795.33"
1997,Illinois,"18,400.09","13,851.40","32,251.49","13,761.21","10,563.26","24,324.47"
1998,Illinois,"18,153.52","14,613.10","32,766.62","13,334.21","10,863.08","24,197.29"
1999,Illinois,"18,665.22","15,082.82","33,748.04","13,427.29","10,936.44","24,363.73"
2000,Illinois,"19,013.25","16,093.41","35,106.66","13,368.51","11,348.16","24,716.67"
2001,Illinois,"19,243.87","16,618.24","35,862.11","13,121.86","11,391.22","24,513.08"
2002,Illinois,"19,234.16","17,259.96","36,494.12","13,015.00","11,581.95","24,596.95"
2003,Illinois,"19,946.23","18,324.65","38,270.88","13,309.05","12,056.23","25,365.28"
2004,Illinois,"20,652.10","19,532.30","40,184.40","13,391.87","12,481.61","25,873.48"
2005,Illinois,"21,628.38","20,509.34","42,137.72","13,730.98","12,673.22","26,404.20"
2006,Illinois,"22,606.99","21,878.95","44,485.94","14,126.30","13,160.86","27,287.16"
2007,Illinois,"23,954.48","23,055.34","47,009.82","14,396.43","13,406.84","27,803.27"
2008,Illinois,"24,967.43","23,594.01","48,561.44","14,102.43","13,099.21","27,201.64"
2009,Illinois,"24,570.90","23,589.55","48,160.45","13,748.04","12,625.44","26,373.48"
2010,Illinois,"24,884.43","24,160.78","49,045.21","13,861.62","12,790.54","26,652.16"
2011,Illinois,"25,946.55","25,351.39","51,297.94","13,804.23","13,091.02","26,895.25"
2012,Illinois,"26,765.84","26,544.43","53,310.27","13,876.56","13,319.66","27,196.22"
2013,Illinois,"27,237.92","27,668.89","54,906.81","14,043.62","13,556.75","27,600.37"
2014,Illinois,"28,220.22","29,420.77","57,640.99","14,197.56","14,027.45","28,225.01"
2015,Illinois,"28,473.81","32,174.45","60,648.26","14,246.44","14,885.52","29,131.96"
2016,Illinois,"28,769.23","34,341.88","63,111.11","14,588.23","15,491.98","30,080.21"
2017,Illinois,"28,817.13","36,526.70","65,343.83","14,664.85","16,206.78","30,871.63"
2018,Illinois,"29,139.44","37,909.91","67,049.35","14,824.54","16,427.74","31,252.28"
2019,Illinois,"29,481.76","39,359.45","68,841.21","14,925.14","16,612.06","31,537.20"
2020,Illinois,"31,297.52","33,877.41","65,174.93","15,399.84","13,943.17","29,343.01"
2021,Illinois,"32,723.84","40,201.54","72,925.38","15,567.77","15,745.09","31,312.86"
2022,Illinois,"35,299.27","46,573.70","81,872.97","14,879.91","16,775.70","31,655.61"
2023,Illinois,"35,261.29","51,132.29","86,393.58","14,126.95","17,243.10","31,370.05"
2024,Illinois,"35,316.02","53,782.76","89,098.78","13,992.73","17,528.21","31,520.94"
1997,Indiana,"7,025.20","6,806.07","13,831.27","5,254.06","5,190.40","10,444.46"
1998,Indiana,"7,402.19","7,033.33","14,435.52","5,437.09","5,228.44","10,665.53"
1999,Indiana,"7,767.76","7,340.84","15,108.60","5,587.93","5,322.79","10,910.72"
2000,Indiana,"8,269.93","7,750.48","16,020.41","5,814.72","5,465.20","11,279.92"
2001,Indiana,"8,597.26","8,074.87","16,672.13","5,862.23","5,535.04","11,397.27"
2002,Indiana,"8,780.09","8,372.02","17,152.11","5,941.15","5,617.88","11,559.03"
2003,Indiana,"9,083.69","8,839.41","17,923.10","6,061.06","5,815.66","11,876.72"
2004,Indiana,"9,561.33","9,382.21","18,943.54","6,200.05","5,995.46","12,195.51"
2005,Indiana,"10,155.02","9,805.90","19,960.92","6,447.01","6,059.30","12,506.31"
2006,Indiana,"10,666.58","10,395.34","21,061.92","6,665.16","6,253.12","12,918.28"
2007,Indiana,"11,039.73","10,810.28","21,850.01","6,634.78","6,286.26","12,921.04"
2008,Indiana,"11,446.97","11,100.35","22,547.32","6,465.63","6,162.83","12,628.46"
2009,Indiana,"11,342.22","11,109.94","22,452.16","6,346.26","5,946.19","12,292.45"
2010,Indiana,"11,625.83","11,370.50","22,996.33","6,476.05","6,019.46","12,495.51"
2011,Indiana,"12,257.70","11,949.29","24,206.99","6,521.41","6,170.41","12,691.82"
2012,Indiana,"12,909.43","12,539.54","25,448.97","6,692.80","6,292.18","12,984.98"
2013,Indiana,"13,417.47","13,036.18","26,453.65","6,917.93","6,387.26","13,305.19"
2014,Indiana,"13,875.06","13,777.37","27,652.43","6,980.53","6,568.88","13,549.41"
2015,Indiana,"14,200.94","14,925.85","29,126.79","7,105.22","6,905.45","14,010.67"
2016,Indiana,"14,660.45","15,726.99","30,387.44","7,433.98","7,094.61","14,528.59"
2017,Indiana,"15,258.25","16,480.74","31,738.99","7,764.82","7,312.45","15,077.27"
2018,Indiana,"15,091.59","16,970.75","32,062.34","7,677.77","7,354.04","15,031.81"
2019,Indiana,"15,414.34","17,664.90","33,079.24","7,803.51","7,455.65","15,259.16"
2020,Indiana,"16,240.45","16,378.32","32,618.77","7,991.06","6,740.94","14,732.00"
2021,Indiana,"17,097.25","19,908.02","37,005.27","8,133.71","7,797.06","15,930.77"
2022,Indiana,"19,100.07","22,222.06","41,322.13","8,051.37","8,004.31","16,055.68"
2023,Indiana,"19,501.88","24,187.16","43,689.04","7,813.16","8,156.52","15,969.68"
2024,Indiana,"19,980.58","25,021.54","45,002.12","7,916.60","8,154.71","16,071.31"
1997,Iowa,"4,124.32","2,678.51","6,802.83","3,084.53","2,042.67","5,127.20"
1998,Iowa,"4,264.11","2,826.03","7,090.14","3,132.09","2,100.81","5,232.90"
1999,Iowa,"4,448.02","2,953.08","7,401.10","3,199.79","2,141.26","5,341.05"
2000,Iowa,"4,521.39","3,098.33","7,619.72","3,179.06","2,184.77","5,363.83"
2001,Iowa,"4,748.18","3,179.87","7,928.05","3,237.65","2,179.69","5,417.34"
2002,Iowa,"4,772.38","3,349.73","8,122.11","3,229.28","2,247.77","5,477.05"
2003,Iowa,"4,898.64","3,531.17","8,429.81","3,268.60","2,323.24","5,591.84"
2004,Iowa,"5,084.55","3,780.67","8,865.22","3,297.08","2,415.94","5,713.02"
2005,Iowa,"5,483.26","4,028.94","9,512.20","3,481.10","2,489.58","5,970.68"
2006,Iowa,"5,771.02","4,290.45","10,061.47","3,606.10","2,580.84","6,186.94"
2007,Iowa,"5,990.45","4,514.50","10,504.95","3,600.21","2,625.22","6,225.43"
2008,Iowa,"6,291.96","4,600.14","10,892.10","3,553.91","2,553.96","6,107.87"
2009,Iowa,"6,218.98","4,645.69","10,864.67","3,479.68","2,486.43","5,966.11"
2010,Iowa,"6,310.48","4,727.22","11,037.70","3,515.19","2,502.56","6,017.75"
2011,Iowa,"6,621.29","4,974.76","11,596.05","3,522.69","2,568.88","6,091.57"
2012,Iowa,"6,833.44","5,203.96","12,037.40","3,542.75","2,611.28","6,154.03"
2013,Iowa,"7,035.66","5,491.90","12,527.56","3,627.52","2,690.83","6,318.35"
2014,Iowa,"7,283.62","5,829.09","13,112.71","3,664.38","2,779.24","6,443.62"
2015,Iowa,"7,450.70","6,300.79","13,751.49","3,727.84","2,915.06","6,642.90"
2016,Iowa,"7,594.43","6,616.92","14,211.35","3,850.96","2,984.96","6,835.92"
2017,Iowa,"7,869.27","6,987.13","14,856.40","4,004.62","3,100.17","7,104.79"
2018,Iowa,"7,944.82","7,207.24","15,152.06","4,041.89","3,123.16","7,165.05"
2019,Iowa,"8,094.76","7,441.64","15,536.40","4,097.97","3,140.82","7,238.79"
2020,Iowa,"8,441.61","6,830.31","15,271.92","4,153.66","2,811.20","6,964.86"
2021,Iowa,"9,101.67","8,438.70","17,540.37","4,329.95","3,305.05","7,635.00"
2022,Iowa,"10,001.36","9,265.84","19,267.20","4,215.93","3,337.53","7,553.46"
2023,Iowa,"9,997.91","9,724.20","19,722.11","4,005.53","3,279.25","7,284.78"
2024,Iowa,"10,025.55","9,975.73","20,001.28","3,972.27","3,251.17","7,223.44"
1997,Kansas,"3,409.98","2,823.89","6,233.87","2,550.28","2,153.53","4,703.81"
1998,Kansas,"3,508.00","2,988.78","6,496.78","2,576.71","2,221.80","4,798.51"
1999,Kansas,"3,690.90","3,030.83","6,721.73","2,655.14","2,197.63","4,852.77"
2000,Kansas,"3,825.83","3,193.67","7,019.50","2,690.00","2,251.99","4,941.99"
2001,Kansas,"4,033.28","3,302.61","7,335.89","2,750.18","2,263.83","5,014.01"
2002,Kansas,"3,998.49","3,437.75","7,436.24","2,705.62","2,306.83","5,012.45"
2003,Kansas,"4,246.46","3,604.80","7,851.26","2,833.44","2,371.68","5,205.12"
2004,Kansas,"4,449.32","3,793.29","8,242.61","2,885.16","2,424.01","5,309.17"
2005,Kansas,"4,591.29","3,970.83","8,562.12","2,914.82","2,453.67","5,368.49"
2006,Kansas,"4,846.70","4,179.04","9,025.74","3,028.53","2,513.82","5,542.35"
2007,Kansas,"5,047.56","4,371.18","9,418.74","3,033.54","2,541.87","5,575.41"
2008,Kansas,"5,454.18","4,528.59","9,982.77","3,080.70","2,514.23","5,594.93"
2009,Kansas,"5,414.72","4,583.26","9,997.98","3,029.68","2,453.02","5,482.70"
2010,Kansas,"5,480.11","4,678.99","10,159.10","3,052.64","2,477.02","5,529.66"
2011,Kansas,"5,803.53","4,945.56","10,749.09","3,087.63","2,553.80","5,641.43"
2012,Kansas,"6,002.06","5,196.30","11,198.36","3,111.72","2,607.44","5,719.16"
2013,Kansas,"6,286.54","5,393.62","11,680.16","3,241.28","2,642.68","5,883.96"
2014,Kansas,"6,583.38","5,671.99","12,255.37","3,312.09","2,704.33","6,016.42"
2015,Kansas,"6,753.34","6,190.54","12,943.88","3,378.93","2,864.06","6,242.99"
2016,Kansas,"6,838.37","6,503.75","13,342.12","3,467.58","2,933.91","6,401.49"
2017,Kansas,"7,026.54","6,831.66","13,858.20","3,575.76","3,031.19","6,606.95"
2018,Kansas,"7,114.35","7,068.60","14,182.95","3,619.39","3,063.08","6,682.47"
2019,Kansas,"7,219.64","7,359.56","14,579.20","3,654.94","3,106.18","6,761.12"
2020,Kansas,"7,681.86","6,933.40","14,615.26","3,779.83","2,853.63","6,633.46"
2021,Kansas,"8,079.15","8,411.45","16,490.60","3,843.51","3,294.38","7,137.89"
2022,Kansas,"8,885.42","9,324.93","18,210.35","3,745.52","3,358.81","7,104.33"
2023,Kansas,"8,649.62","9,775.85","18,425.47","3,465.35","3,296.66","6,762.01"
2024,Kansas,"8,480.22","9,995.02","18,475.24","3,359.99","3,257.45","6,617.44"
1997,Kentucky,"4,847.68","4,282.64","9,130.32","3,605.33","3,288.55","6,893.88"
1998,Kentucky,"5,047.22","4,499.20","9,546.42","3,698.95","3,366.15","7,065.10"
1999,Kentucky,"5,424.22","4,680.39","10,104.61","3,913.17","3,418.13","7,331.30"
2000,Kentucky,"5,672.86","4,861.80","10,534.66","3,985.50","3,471.91","7,457.41"
2001,Kentucky,"5,827.60","5,076.12","10,903.72","3,980.41","3,530.21","7,510.62"
2002,Kentucky,"5,994.19","5,227.85","11,222.04","4,041.62","3,554.94","7,596.56"
2003,Kentucky,"6,287.59","5,501.93","11,789.52","4,149.81","3,654.02","7,803.83"
2004,Kentucky,"6,698.75","5,981.56","12,680.31","4,253.47","3,853.38","8,106.85"
2005,Kentucky,"7,171.55","6,303.20","13,474.75","4,462.90","3,946.35","8,409.25"
2006,Kentucky,"7,490.35","6,675.28","14,165.63","4,572.60","4,054.86","8,627.46"
2007,Kentucky,"8,003.43","7,021.89","15,025.32","4,689.15","4,124.52","8,813.67"
2008,Kentucky,"8,404.18","7,212.46","15,616.64","4,613.73","4,050.03","8,663.76"
2009,Kentucky,"8,232.15","7,223.96","15,456.11","4,485.14","3,914.39","8,399.53"
2010,Kentucky,"8,509.54","7,444.39","15,953.93","4,609.14","3,983.06","8,592.20"
2011,Kentucky,"8,814.13","7,796.68","16,610.81","4,541.65","4,080.79","8,622.44"
2012,Kentucky,"9,059.02","8,163.77","17,222.79","4,545.03","4,158.50","8,703.53"
2013,Kentucky,"9,227.47","8,569.23","17,796.70","4,575.17","4,267.08","8,842.25"
2014,Kentucky,"9,683.73","9,074.75","18,758.48","4,687.17","4,414.83","9,102.00"
2015,Kentucky,"9,873.55","9,843.98","19,717.53","4,730.22","4,647.24","9,377.46"
2016,Kentucky,"9,950.40","10,480.28","20,430.68","4,835.74","4,850.68","9,686.42"
2017,Kentucky,"10,579.28","11,095.17","21,674.45","5,152.81","5,033.91","10,186.72"
2018,Kentucky,"10,901.03","11,461.60","22,362.63","5,293.70","5,092.69","10,386.39"
2019,Kentucky,"10,897.31","11,994.97","22,892.28","5,255.72","5,170.72","10,426.44"
2020,Kentucky,"11,601.46","11,115.45","22,716.91","5,405.13","4,664.23","10,069.36"
2021,Kentucky,"12,095.38","13,291.56","25,386.94","5,448.11","5,369.71","10,817.82"
2022,Kentucky,"13,369.22","14,850.88","28,220.10","5,406.67","5,567.05","10,973.72"
2023,Kentucky,"13,373.19","16,005.05","29,378.24","5,133.93","5,601.26","10,735.19"
2024,Kentucky,"13,410.82","16,566.12","29,976.94","5,085.13","5,580.77","10,665.90"
1997,Louisiana,"5,265.24","4,754.74","10,019.98","3,915.88","3,651.07","7,566.95"
1998,Louisiana,"5,553.04","5,003.45","10,556.49","4,069.65","3,743.42","7,813.07"
1999,Louisiana,"6,046.27","5,289.01","11,335.28","4,361.93","3,862.62","8,224.55"
2000,Louisiana,"6,371.80","5,748.17","12,119.97","4,476.54","4,104.88","8,581.42"
2001,Louisiana,"6,716.13","5,918.07","12,634.20","4,587.30","4,115.75","8,703.05"
2002,Louisiana,"6,858.17","6,144.15","13,002.32","4,624.16","4,178.02","8,802.18"
2003,Louisiana,"6,890.42","6,523.11","13,413.53","4,547.68","4,332.22","8,879.90"
2004,Louisiana,"7,140.79","6,987.42","14,128.21","4,534.15","4,501.37","9,035.52"
2005,Louisiana,"7,457.93","7,086.75","14,544.68","4,641.11","4,436.92","9,078.03"
2006,Louisiana,"7,551.54","6,999.61","14,551.15","4,609.95","4,251.88","8,861.83"
2007,Louisiana,"8,031.72","7,497.96","15,529.68","4,705.73","4,404.15","9,109.88"
2008,Louisiana,"8,512.02","7,785.34","16,297.36","4,672.93","4,371.72","9,044.65"
2009,Louisiana,"8,535.22","7,899.81","16,435.03","4,650.26","4,280.60","8,930.86"
2010,Louisiana,"8,774.07","8,162.93","16,937.00","4,752.41","4,367.51","9,119.92"
2011,Louisiana,"9,263.18","8,768.35","18,031.53","4,773.03","4,589.37","9,362.40"
2012,Louisiana,"9,569.47","9,241.63","18,811.10","4,801.13","4,707.54","9,508.67"
2013,Louisiana,"9,845.14","9,698.16","19,543.30","4,881.42","4,829.23","9,710.65"
2014,Louisiana,"10,362.66","10,450.02","20,812.68","5,015.79","5,083.90","10,099.69"
2015,Louisiana,"10,722.07","11,359.99","22,082.06","5,136.73","5,362.93","10,499.66"
2016,Louisiana,"10,909.27","12,217.13","23,126.40","5,301.74","5,654.56","10,956.30"
2017,Louisiana,"11,704.80","12,847.88","24,552.68","5,701.02","5,829.12","11,530.14"
2018,Louisiana,"11,960.48","13,453.76","25,414.24","5,808.18","5,977.86","11,786.04"
2019,Louisiana,"12,203.22","13,947.48","26,150.70","5,885.55","6,012.40","11,897.95"
2020,Louisiana,"12,872.48","12,424.90","25,297.38","5,997.30","5,213.69","11,210.99"
2021,Louisiana,"14,190.19","15,243.78","29,433.97","6,391.68","6,158.39","12,550.07"
2022,Louisiana,"15,325.81","16,681.84","32,007.65","6,197.94","6,253.41","12,451.35"
2023,Louisiana,"15,512.72","17,578.06","33,090.78","5,955.28","6,151.76","12,107.04"
2024,Louisiana,"15,773.30","17,931.73","33,705.03","5,980.93","6,040.81","12,021.74"
1997,Maine,"1,959.62","1,373.25","3,332.87","1,446.62","1,087.59","2,534.21"
1998,Maine,"2,092.68","1,465.57","3,558.25","1,522.18","1,132.32","2,654.50"
1999,Maine,"2,258.51","1,569.45","3,827.96","1,608.39","1,178.72","2,787.11"
2000,Maine,"2,455.65","1,783.85","4,239.50","1,720.98","1,311.68","3,032.66"
2001,Maine,"2,669.75","1,869.03","4,538.78","1,813.36","1,334.72","3,148.08"
2002,Maine,"2,779.07","1,962.63","4,741.70","1,867.36","1,367.57","3,234.93"
2003,Maine,"2,782.34","2,015.38","4,797.72","1,828.26","1,375.51","3,203.77"
2004,Maine,"2,991.52","2,129.51","5,121.03","1,882.56","1,415.19","3,297.75"
2005,Maine,"3,108.90","2,218.10","5,327.00","1,906.02","1,433.37","3,339.39"
2006,Maine,"3,215.88","2,342.60","5,558.48","1,927.91","1,460.80","3,388.71"
2007,Maine,"3,411.26","2,452.17","5,863.43","1,968.20","1,467.22","3,435.42"
2008,Maine,"3,510.77","2,526.70","6,037.47","1,907.42","1,446.83","3,354.25"
2009,Maine,"3,411.05","2,503.38","5,914.43","1,835.12","1,386.26","3,221.38"
2010,Maine,"3,398.98","2,603.71","6,002.69","1,811.50","1,419.68","3,231.18"
2011,Maine,"3,535.97","2,738.62","6,274.59","1,806.78","1,457.48","3,264.26"
2012,Maine,"3,608.43","2,833.44","6,441.87","1,794.61","1,468.54","3,263.15"
2013,Maine,"3,676.57","3,039.86","6,716.43","1,813.36","1,549.42","3,362.78"
2014,Maine,"3,769.48","3,201.82","6,971.30","1,827.98","1,596.80","3,424.78"
2015,Maine,"3,777.41","3,442.71","7,220.12","1,806.89","1,677.91","3,484.80"
2016,Maine,"3,842.97","3,662.40","7,505.37","1,863.17","1,738.70","3,601.87"
2017,Maine,"3,917.75","3,944.14","7,861.89","1,896.49","1,829.40","3,725.89"
2018,Maine,"4,097.89","4,130.89","8,228.78","1,959.53","1,864.52","3,824.05"
2019,Maine,"4,234.27","4,316.59","8,550.86","2,008.66","1,894.03","3,902.69"
2020,Maine,"4,481.93","3,588.94","8,070.87","2,055.70","1,519.79","3,575.49"
2021,Maine,"4,903.01","4,440.10","9,343.11","2,197.24","1,794.74","3,991.98"
2022,Maine,"5,312.85","5,151.33","10,464.18","2,162.07","1,948.07","4,110.14"
2023,Maine,"5,282.26","5,366.72","10,648.98","2,051.52","1,899.11","3,950.63"
2024,Maine,"5,263.16","5,523.19","10,786.35","2,025.81","1,872.82","3,898.63"
1997,Maryland,"7,784.10","5,887.72","13,671.82","5,789.21","4,521.06","10,310.27"
1998,Maryland,"7,710.57","6,163.51","13,874.08","5,650.83","4,611.33","10,262.16"
1999,Maryland,"8,043.90","6,417.07","14,460.97","5,803.06","4,686.45","10,489.51"
2000,Maryland,"8,450.16","6,900.79","15,350.95","5,936.70","4,927.98","10,864.68"
2001,Maryland,"8,796.80","7,198.63","15,995.43","6,008.46","5,006.32","11,014.78"
2002,Maryland,"8,867.40","7,729.89","16,597.29","5,978.90","5,256.33","11,235.23"
2003,Maryland,"9,289.15","8,194.30","17,483.45","6,130.84","5,442.12","11,572.96"
2004,Maryland,"9,525.48","8,753.59","18,279.07","6,048.34","5,639.15","11,687.49"
2005,Maryland,"9,415.89","9,253.69","18,669.58","5,859.56","5,793.62","11,653.18"
2006,Maryland,"10,056.82","9,709.67","19,766.49","6,139.34","5,898.08","12,037.42"
2007,Maryland,"10,487.85","10,234.93","20,722.78","6,144.76","6,011.79","12,156.55"
2008,Maryland,"10,962.53","10,671.75","21,634.28","6,018.21","5,992.53","12,010.74"
2009,Maryland,"10,782.80","10,534.36","21,317.16","5,874.82","5,708.17","11,582.99"
2010,Maryland,"11,122.19","10,759.80","21,881.99","6,024.26","5,756.94","11,781.20"
2011,Maryland,"11,563.87","11,361.44","22,925.31","5,958.50","5,946.59","11,905.09"
2012,Maryland,"11,850.85","12,121.70","23,972.55","5,945.73","6,174.61","12,120.34"
2013,Maryland,"12,402.76","12,770.16","25,172.92","6,149.55","6,358.95","12,508.50"
2014,Maryland,"12,781.98","13,640.36","26,422.34","6,186.80","6,635.98","12,822.78"
2015,Maryland,"12,768.07","14,852.15","27,620.22","6,116.93","7,011.54","13,128.47"
2016,Maryland,"12,916.80","15,752.27","28,669.07","6,277.36","7,290.76","13,568.12"
2017,Maryland,"12,821.00","16,780.12","29,601.12","6,244.68","7,613.19","13,857.87"
2018,Maryland,"13,169.47","17,375.03","30,544.50","6,395.29","7,720.19","14,115.48"
2019,Maryland,"13,354.20","18,076.08","31,430.28","6,440.67","7,792.13","14,232.80"
2020,Maryland,"14,157.08","15,202.97","29,360.05","6,595.79","6,379.41","12,975.20"
2021,Maryland,"15,374.42","18,544.39","33,918.81","6,925.09","7,491.82","14,416.91"
2022,Maryland,"17,107.44","21,348.39","38,455.83","6,918.45","8,002.73","14,921.18"
2023,Maryland,"17,346.08","22,662.33","40,008.41","6,659.11","7,931.10","14,590.21"
2024,Maryland,"17,610.28","23,287.29","40,897.57","6,677.48","7,844.98","14,522.46"
1997,Massachusetts,"8,871.35","8,005.54","16,876.89","6,548.95","6,340.22","12,889.17"
1998,Massachusetts,"9,012.64","8,411.88","17,424.52","6,555.65","6,499.16","13,054.81"
1999,Massachusetts,"9,479.26","8,852.50","18,331.76","6,750.64","6,648.58","13,399.22"
2000,Massachusetts,"9,590.47","9,518.32","19,108.79","6,721.24","6,998.93","13,720.17"
2001,Massachusetts,"9,826.83","9,914.42","19,741.25","6,674.62","7,080.12","13,754.74"
2002,Massachusetts,"10,042.47","10,496.78","20,539.25","6,747.90","7,314.18","14,062.08"
2003,Massachusetts,"10,288.25","10,986.35","21,274.60","6,760.36","7,498.25","14,258.61"
2004,Massachusetts,"10,682.93","11,603.53","22,286.46","6,722.73","7,711.28","14,434.01"
2005,Massachusetts,"11,111.93","12,095.25","23,207.18","6,812.57","7,816.16","14,628.73"
