Year,Period,Period_Number,Data_Item,Value,Units
2020,Annual,17,Choice beef farmers' share of retail beef dollar,37.3,Percent
2021,Annual,17,Choice beef farmers' share of retail beef dollar,36.8,Percent
2022,Annual,17,Choice beef farmers' share of retail beef dollar,40.5,Percent
2023,Annual,17,Choice beef farmers' share of retail beef dollar,47.8,Percent
2024,Annual,17,Choice beef farmers' share of retail beef dollar,50.2,Percent
2022,"Quarter 3, July-September",15,Choice beef farmers' share of retail beef dollar,39.5,Percent
2022,"Quarter 4, October-December",16,Choice beef farmers' share of retail beef dollar,43.7,Percent
2023,"Quarter 1, January-March",13,Choice beef farmers' share of retail beef dollar,46.2,Percent
2023,"Quarter 2, April-June",14,Choice beef farmers' share of retail beef dollar,48.2,Percent
2023,"Quarter 3, July-September",15,Choice beef farmers' share of retail beef dollar,48.2,Percent
2023,"Quarter 4, October-December",16,Choice beef farmers' share of retail beef dollar,48.6,Percent
2024,"Quarter 1, January-March",13,Choice beef farmers' share of retail beef dollar,49.5,Percent
2024,"Quarter 2, April-June",14,Choice beef farmers' share of retail beef dollar,51.0,Percent
2024,"Quarter 3, July-September",15,Choice beef farmers' share of retail beef dollar,49.1,Percent
2024,"Quarter 4, October-December",16,Choice beef farmers' share of retail beef dollar,51.1,Percent
2025,"Quarter 1, January-March",13,Choice beef farmers' share of retail beef dollar,52.5,Percent
2025,"Quarter 2, April-June",14,Choice beef farmers' share of retail beef dollar,56.0,Percent
2023,September,9,Choice beef farmers' share of retail beef dollar,48.9,Percent
2023,October,10,Choice beef farmers' share of retail beef dollar,49.4,Percent
2023,November,11,Choice beef farmers' share of retail beef dollar,49.1,Percent
2023,December,12,Choice beef farmers' share of retail beef dollar,47.4,Percent
2024,January,1,Choice beef farmers' share of retail beef dollar,47.9,Percent
2024,February,2,Choice beef farmers' share of retail beef dollar,49.5,Percent
2024,March,3,Choice beef farmers' share of retail beef dollar,51.2,Percent
2024,April,4,Choice beef farmers' share of retail beef dollar,49.9,Percent
2024,May,5,Choice beef farmers' share of retail beef dollar,51.2,Percent
2024,June,6,Choice beef farmers' share of retail beef dollar,51.9,Percent
2024,July,7,Choice beef farmers' share of retail beef dollar,50.1,Percent
2024,August,8,Choice beef farmers' share of retail beef dollar,48.7,Percent
2024,September,9,Choice beef farmers' share of retail beef dollar,48.6,Percent
2024,October,10,Choice beef farmers' share of retail beef dollar,52.0,Percent
2024,November,11,Choice beef farmers' share of retail beef dollar,50.4,Percent
2024,December,12,Choice beef farmers' share of retail beef dollar,51.1,Percent
2025,January,1,Choice beef farmers' share of retail beef dollar,52.8,Percent
2025,February,2,Choice beef farmers' share of retail beef dollar,52.1,Percent
2025,March,3,Choice beef farmers' share of retail beef dollar,52.5,Percent
2025,April,4,Choice beef farmers' share of retail beef dollar,55.3,Percent
2025,May,5,Choice beef farmers' share of retail beef dollar,56.5,Percent
2025,June,6,Choice beef farmers' share of retail beef dollar,56.1,Percent
2025,July,7,Choice beef farmers' share of retail beef dollar,53.3,Percent
2025,August,8,Choice beef farmers' share of retail beef dollar,54.6,Percent
2019,Annual,17,Choice beef wholesale -retail spread share of retail beef dollar,43.6,Percent
2020,Annual,17,Choice beef wholesale -retail spread share of retail beef dollar,44.4,Percent
2021,Annual,17,Choice beef wholesale -retail spread share of retail beef dollar,41.5,Percent
2022,Annual,17,Choice beef wholesale -retail spread share of retail beef dollar,47.6,Percent
2023,Annual,17,Choice beef wholesale -retail spread share of retail beef dollar,43.3,Percent
2024,Annual,17,Choice beef wholesale -retail spread share of retail beef dollar,43.1,Percent
2022,"Quarter 3, July-September",15,Choice beef wholesale -retail spread share of retail beef dollar,48.1,Percent
2022,"Quarter 4, October-December",16,Choice beef wholesale -retail spread share of retail beef dollar,47.7,Percent
2023,"Quarter 1, January-March",13,Choice beef wholesale -retail spread share of retail beef dollar,44.5,Percent
2023,"Quarter 2, April-June",14,Choice beef wholesale -retail spread share of retail beef dollar,41.2,Percent
2023,"Quarter 3, July-September",15,Choice beef wholesale -retail spread share of retail beef dollar,43.4,Percent
2023,"Quarter 4, October-December",16,Choice beef wholesale -retail spread share of retail beef dollar,44.0,Percent
2024,"Quarter 1, January-March",13,Choice beef wholesale -retail spread share of retail beef dollar,43.7,Percent
2024,"Quarter 2, April-June",14,Choice beef wholesale -retail spread share of retail beef dollar,42.5,Percent
2024,"Quarter 3, July-September",15,Choice beef wholesale -retail spread share of retail beef dollar,43.6,Percent
2024,"Quarter 4, October-December",16,Choice beef wholesale -retail spread share of retail beef dollar,42.5,Percent
2025,"Quarter 1, January-March",13,Choice beef wholesale -retail spread share of retail beef dollar,43.0,Percent
2025,"Quarter 2, April-June",14,Choice beef wholesale -retail spread share of retail beef dollar,39.8,Percent
2023,September,9,Choice beef wholesale -retail spread share of retail beef dollar,43.5,Percent
2023,October,10,Choice beef wholesale -retail spread share of retail beef dollar,43.8,Percent
2023,November,11,Choice beef wholesale -retail spread share of retail beef dollar,43.6,Percent
2023,December,12,Choice beef wholesale -retail spread share of retail beef dollar,44.7,Percent
2024,January,1,Choice beef wholesale -retail spread share of retail beef dollar,45.2,Percent
2024,February,2,Choice beef wholesale -retail spread share of retail beef dollar,44.0,Percent
2024,March,3,Choice beef wholesale -retail spread share of retail beef dollar,42.0,Percent
2024,April,4,Choice beef wholesale -retail spread share of retail beef dollar,44.3,Percent
2024,May,5,Choice beef wholesale -retail spread share of retail beef dollar,42.9,Percent
2024,June,6,Choice beef wholesale -retail spread share of retail beef dollar,40.1,Percent
2024,July,7,Choice beef wholesale -retail spread share of retail beef dollar,42.4,Percent
2024,August,8,Choice beef wholesale -retail spread share of retail beef dollar,43.9,Percent
2024,September,9,Choice beef wholesale -retail spread share of retail beef dollar,44.9,Percent
2024,October,10,Choice beef wholesale -retail spread share of retail beef dollar,41.2,Percent
2024,November,11,Choice beef wholesale -retail spread share of retail beef dollar,43.5,Percent
2024,December,12,Choice beef wholesale -retail spread share of retail beef dollar,42.9,Percent
2025,January,1,Choice beef wholesale -retail spread share of retail beef dollar,41.3,Percent
2025,February,2,Choice beef wholesale -retail spread share of retail beef dollar,44.1,Percent
2025,March,3,Choice beef wholesale -retail spread share of retail beef dollar,43.8,Percent
2025,April,4,Choice beef wholesale -retail spread share of retail beef dollar,42.0,Percent
2025,May,5,Choice beef wholesale -retail spread share of retail beef dollar,38.8,Percent
2025,June,6,Choice beef wholesale -retail spread share of retail beef dollar,37.8,Percent
2025,July,7,Choice beef wholesale -retail spread share of retail beef dollar,41.0,Percent
2025,August,8,Choice beef wholesale -retail spread share of retail beef dollar,39.1,Percent
2019,Annual,17,Choice beef farm-wholesale spread share of retail beef dollar,13.9,Percent
2020,Annual,17,Choice beef farm-wholesale spread share of retail beef dollar,18.3,Percent
2021,Annual,17,Choice beef farm-wholesale spread share of retail beef dollar,21.7,Percent
2022,Annual,17,Choice beef farm-wholesale spread share of retail beef dollar,11.9,Percent
2023,Annual,17,Choice beef farm-wholesale spread share of retail beef dollar,8.9,Percent
2024,Annual,17,Choice beef farm-wholesale spread share of retail beef dollar,6.7,Percent
2022,"Quarter 3, July-September",15,Choice beef farm-wholesale spread share of retail beef dollar,12.4,Percent
2022,"Quarter 4, October-December",16,Choice beef farm-wholesale spread share of retail beef dollar,8.6,Percent
2023,"Quarter 1, January-March",13,Choice beef farm-wholesale spread share of retail beef dollar,9.3,Percent
2023,"Quarter 2, April-June",14,Choice beef farm-wholesale spread share of retail beef dollar,10.6,Percent
2023,"Quarter 3, July-September",15,Choice beef farm-wholesale spread share of retail beef dollar,8.4,Percent
2023,"Quarter 4, October-December",16,Choice beef farm-wholesale spread share of retail beef dollar,7.3,Percent
2024,"Quarter 1, January-March",13,Choice beef farm-wholesale spread share of retail beef dollar,6.8,Percent
2024,"Quarter 2, April-June",14,Choice beef farm-wholesale spread share of retail beef dollar,6.5,Percent
2024,"Quarter 3, July-September",15,Choice beef farm-wholesale spread share of retail beef dollar,7.2,Percent
2024,"Quarter 4, October-December",16,Choice beef farm-wholesale spread share of retail beef dollar,6.3,Percent
2025,"Quarter 1, January-March",13,Choice beef farm-wholesale spread share of retail beef dollar,4.6,Percent
2025,"Quarter 2, April-June",14,Choice beef farm-wholesale spread share of retail beef dollar,4.3,Percent
2023,September,9,Choice beef farm-wholesale spread share of retail beef dollar,7.7,Percent
2023,October,10,Choice beef farm-wholesale spread share of retail beef dollar,6.8,Percent
2023,November,11,Choice beef farm-wholesale spread share of retail beef dollar,7.3,Percent
2023,December,12,Choice beef farm-wholesale spread share of retail beef dollar,7.9,Percent
2024,January,1,Choice beef farm-wholesale spread share of retail beef dollar,6.9,Percent
2024,February,2,Choice beef farm-wholesale spread share of retail beef dollar,6.5,Percent
2024,March,3,Choice beef farm-wholesale spread share of retail beef dollar,6.7,Percent
2024,April,4,Choice beef farm-wholesale spread share of retail beef dollar,5.9,Percent
2024,May,5,Choice beef farm-wholesale spread share of retail beef dollar,5.9,Percent
2024,June,6,Choice beef farm-wholesale spread share of retail beef dollar,8.0,Percent
2024,July,7,Choice beef farm-wholesale spread share of retail beef dollar,7.5,Percent
2024,August,8,Choice beef farm-wholesale spread share of retail beef dollar,7.4,Percent
2024,September,9,Choice beef farm-wholesale spread share of retail beef dollar,6.5,Percent
2024,October,10,Choice beef farm-wholesale spread share of retail beef dollar,6.9,Percent
2024,November,11,Choice beef farm-wholesale spread share of retail beef dollar,6.1,Percent
2024,December,12,Choice beef farm-wholesale spread share of retail beef dollar,6.0,Percent
2025,January,1,Choice beef farm-wholesale spread share of retail beef dollar,5.9,Percent
2025,February,2,Choice beef farm-wholesale spread share of retail beef dollar,3.8,Percent
2025,March,3,Choice beef farm-wholesale spread share of retail beef dollar,3.7,Percent
2025,April,4,Choice beef farm-wholesale spread share of retail beef dollar,2.7,Percent
2025,May,5,Choice beef farm-wholesale spread share of retail beef dollar,4.7,Percent
2025,June,6,Choice beef farm-wholesale spread share of retail beef dollar,6.2,Percent
2025,July,7,Choice beef farm-wholesale spread share of retail beef dollar,5.8,Percent
2025,August,8,Choice beef farm-wholesale spread share of retail beef dollar,6.3,Percent
2019,Annual,17,Cattle 5-market steer price,115.41,Dollars/cwt
2020,Annual,17,Cattle 5-market steer price,108.65,Dollars/cwt
2021,Annual,17,Cattle 5-market steer price,121.63,Dollars/cwt
2022,Annual,17,Cattle 5-market steer price,142.66,Dollars/cwt
2023,Annual,17,Cattle 5-market steer price,173.36,Dollars/cwt
2024,Annual,17,Cattle 5-market steer price,185.01,Dollars/cwt
2022,"Quarter 3, July-September",15,Cattle 5-market steer price,139.51,Dollars/cwt
2022,"Quarter 4, October-December",16,Cattle 5-market steer price,151.77,Dollars/cwt
2023,"Quarter 1, January-March",13,Cattle 5-market steer price,160.69,Dollars/cwt
2023,"Quarter 2, April-June",14,Cattle 5-market steer price,175.05,Dollars/cwt
2023,"Quarter 3, July-September",15,Cattle 5-market steer price,180.38,Dollars/cwt
2023,"Quarter 4, October-December",16,Cattle 5-market steer price,177.33,Dollars/cwt
2024,"Quarter 1, January-March",13,Cattle 5-market steer price,180.20,Dollars/cwt
2024,"Quarter 2, April-June",14,Cattle 5-market steer price,185.42,Dollars/cwt
2024,"Quarter 3, July-September",15,Cattle 5-market steer price,185.56,Dollars/cwt
2024,"Quarter 4, October-December",16,Cattle 5-market steer price,188.84,Dollars/cwt
2025,"Quarter 1, January-March",13,Cattle 5-market steer price,202.18,Dollars/cwt
2025,"Quarter 2, April-June",14,Cattle 5-market steer price,222.63,Dollars/cwt
2023,September,9,Cattle 5-market steer price,181.97,Dollars/cwt
2023,October,10,Cattle 5-market steer price,182.94,Dollars/cwt
2023,November,11,Cattle 5-market steer price,178.20,Dollars/cwt
2023,December,12,Cattle 5-market steer price,170.83,Dollars/cwt
2024,January,1,Cattle 5-market steer price,173.82,Dollars/cwt
2024,February,2,Cattle 5-market steer price,180.90,Dollars/cwt
2024,March,3,Cattle 5-market steer price,186.28,Dollars/cwt
2024,April,4,Cattle 5-market steer price,182.52,Dollars/cwt
2024,May,5,Cattle 5-market steer price,185.60,Dollars/cwt
2024,June,6,Cattle 5-market steer price,188.16,Dollars/cwt
2024,July,7,Cattle 5-market steer price,188.84,Dollars/cwt
2024,August,8,Cattle 5-market steer price,185.16,Dollars/cwt
2024,September,9,Cattle 5-market steer price,182.78,Dollars/cwt
2024,October,10,Cattle 5-market steer price,187.92,Dollars/cwt
2024,November,11,Cattle 5-market steer price,187.18,Dollars/cwt
2024,December,12,Cattle 5-market steer price,191.49,Dollars/cwt
2025,January,1,Cattle 5-market steer price,200.72,Dollars/cwt
2025,February,2,Cattle 5-market steer price,201.38,Dollars/cwt
2025,March,3,Cattle 5-market steer price,204.70,Dollars/cwt
2025,April,4,Cattle 5-market steer price,217.82,Dollars/cwt
2025,May,5,Cattle 5-market steer price,220.25,Dollars/cwt
2025,June,6,Cattle 5-market steer price,229.76,Dollars/cwt
2025,July,7,Cattle 5-market steer price,228.88,Dollars/cwt
2025,August,8,Cattle 5-market steer price,238.08,Dollars/cwt
2019,Annual,17,All-fresh beef retail value,581.9,Cents/lb
2020,Annual,17,All-fresh beef retail value,638.5,Cents/lb
2021,Annual,17,All-fresh beef retail value,694.8,Cents/lb
2022,Annual,17,All-fresh beef retail value,729.7,Cents/lb
2023,Annual,17,All-fresh beef retail value,759.7,Cents/lb
2024,Annual,17,All-fresh beef retail value,801.3,Cents/lb
2022,"Quarter 3, July-September",15,All-fresh beef retail value,732.9,Cents/lb
2022,"Quarter 4, October-December",16,All-fresh beef retail value,718.7,Cents/lb
2023,"Quarter 1, January-March",13,All-fresh beef retail value,721.8,Cents/lb
2023,"Quarter 2, April-June",14,All-fresh beef retail value,746.7,Cents/lb
2023,"Quarter 3, July-September",15,All-fresh beef retail value,781.0,Cents/lb
2023,"Quarter 4, October-December",16,All-fresh beef retail value,789.2,Cents/lb
2024,"Quarter 1, January-March",13,All-fresh beef retail value,784.2,Cents/lb
2024,"Quarter 2, April-June",14,All-fresh beef retail value,796.8,Cents/lb
2024,"Quarter 3, July-September",15,All-fresh beef retail value,817.2,Cents/lb
2024,"Quarter 4, October-December",16,All-fresh beef retail value,807.0,Cents/lb
2025,"Quarter 1, January-March",13,All-fresh beef retail value,829.2,Cents/lb
2025,"Quarter 2, April-June",14,All-fresh beef retail value,851.3,Cents/lb
2023,September,9,All-fresh beef retail value,781.9,Cents/lb
2023,October,10,All-fresh beef retail value,794.2,Cents/lb
2023,November,11,All-fresh beef retail value,788.7,Cents/lb
2023,December,12,All-fresh beef retail value,784.9,Cents/lb
2024,January,1,All-fresh beef retail value,781.2,Cents/lb
2024,February,2,All-fresh beef retail value,783.0,Cents/lb
2024,March,3,All-fresh beef retail value,788.6,Cents/lb
2024,April,4,All-fresh beef retail value,794.9,Cents/lb
2024,May,5,All-fresh beef retail value,796.1,Cents/lb
2024,June,6,All-fresh beef retail value,799.5,Cents/lb
2024,July,7,All-fresh beef retail value,815.1,Cents/lb
2024,August,8,All-fresh beef retail value,815.5,Cents/lb
2024,September,9,All-fresh beef retail value,820.8,Cents/lb
2024,October,10,All-fresh beef retail value,807.5,Cents/lb
2024,November,11,All-fresh beef retail value,805.6,Cents/lb
2024,December,12,All-fresh beef retail value,807.8,Cents/lb
2025,January,1,All-fresh beef retail value,815.0,Cents/lb
2025,February,2,All-fresh beef retail value,831.6,Cents/lb
2025,March,3,All-fresh beef retail value,842.2,Cents/lb
2025,April,4,All-fresh beef retail value,850.1,Cents/lb
2025,May,5,All-fresh beef retail value,840.5,Cents/lb
2025,June,6,All-fresh beef retail value,863.0,Cents/lb
2025,July,7,All-fresh beef retail value,890.2,Cents/lb
2025,August,8,All-fresh beef retail value,918.3,Cents/lb
,,,,,
