"commodity_desc","geography_desc","attribute_desc","unit_desc","timeperiod_desc","year_id","month_id","amount"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Feb-25 to Jun-25",2025,2,"8.6300000000000008"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Mar-25 to Jul-25",2025,3,"2134.35"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Mar-25 to Jul-25",2025,3,"322.50875958578234"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Mar-25 to Jul-25",2025,3,"99.055328988063252"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Mar-25 to Jul-25",2025,3,"21.343499999999999"
"Cattle","High Plains","Marketing","dollars per head","Mar-25 to Jul-25",2025,3,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Mar-25 to Jul-25",2025,3,"2577.2575885738452"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"210.01925155382423"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"220.31128476630448"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"229.21"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"8.8987152336955262"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"81.903614617449875"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"76.819716664610027"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"105.49801967099314"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"283.18"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"7.6796768707482981"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"8.797534013605441"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"7.845441798941799"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Mar-25 to Jul-25",2025,3,"14.625"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Mar-25 to Jul-25",2025,3,"238"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Mar-25 to Jul-25",2025,3,"8.6300000000000008"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Apr-25 to Aug-25",2025,4,"2247.15"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Apr-25 to Aug-25",2025,4,"313.55712699859521"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Apr-25 to Aug-25",2025,4,"102.2871603768951"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Apr-25 to Aug-25",2025,4,"22.471500000000002"
"Cattle","High Plains","Marketing","dollars per head","Apr-25 to Aug-25",2025,4,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Apr-25 to Aug-25",2025,4,"2685.4657873754904"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"218.38246366480485"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"229.02214335693776"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"235"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"5.9778566430622391"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"79.518515468132549"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"74.200812817906822"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"103.72396253754395"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"298.22000000000003"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"7.9097222222222197"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"8.9895521541950103"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"7.4481190476190484"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Apr-25 to Aug-25",2025,4,"14.75"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Apr-25 to Aug-25",2025,4,"226"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Apr-25 to Aug-25",2025,4,"8.51"
