"Producer Price Index item","Month of forecast","Year of forecast","Year being forecast","Attribute","Forecast percent change"
"Wholesale wheat flour",4,"2003","2003","Mid point of prediction interval",6.1
"Wholesale wheat flour",4,"2003","2003","Upper bound of prediction interval",15.6
"Wholesale wheat flour",5,"2003","2003","Lower bound of prediction interval",-1.1
"Wholesale wheat flour",5,"2003","2003","Mid point of prediction interval",6.1
"Wholesale wheat flour",5,"2003","2003","Upper bound of prediction interval",14.4
"Wholesale wheat flour",6,"2003","2003","Lower bound of prediction interval",1.4
"Wholesale wheat flour",6,"2003","2003","Mid point of prediction interval",7.4
"Wholesale wheat flour",6,"2003","2003","Upper bound of prediction interval",14.4
"Wholesale wheat flour",7,"2003","2003","Lower bound of prediction interval",2
"Wholesale wheat flour",7,"2003","2003","Mid point of prediction interval",6.9
"Wholesale wheat flour",7,"2003","2003","Upper bound of prediction interval",12.5
"Wholesale wheat flour",8,"2003","2003","Lower bound of prediction interval",2.1
"Wholesale wheat flour",8,"2003","2003","Mid point of prediction interval",5.9
"Wholesale wheat flour",8,"2003","2003","Upper bound of prediction interval",10
"Wholesale wheat flour",9,"2003","2003","Lower bound of prediction interval",4.1
"Wholesale wheat flour",9,"2003","2003","Mid point of prediction interval",7
"Wholesale wheat flour",9,"2003","2003","Upper bound of prediction interval",10.1
"Wholesale wheat flour",10,"2003","2003","Lower bound of prediction interval",4.5
"Wholesale wheat flour",10,"2003","2003","Mid point of prediction interval",6.4
"Wholesale wheat flour",10,"2003","2003","Upper bound of prediction interval",8.5
"Wholesale wheat flour",11,"2003","2003","Lower bound of prediction interval",4.6
"Wholesale wheat flour",11,"2003","2003","Mid point of prediction interval",5.7
"Wholesale wheat flour",11,"2003","2003","Upper bound of prediction interval",6.9
"Wholesale wheat flour",12,"2003","2003","Lower bound of prediction interval",5.7
"Wholesale wheat flour",12,"2003","2003","Mid point of prediction interval",6.3
"Wholesale wheat flour",12,"2003","2003","Upper bound of prediction interval",6.9
"Farm-level cattle",7,"2003","2004","Lower bound of prediction interval",-23.3
"Farm-level cattle",7,"2003","2004","Mid point of prediction interval",-1.3
"Farm-level cattle",7,"2003","2004","Upper bound of prediction interval",26.9
"Farm-level cattle",8,"2003","2004","Lower bound of prediction interval",-22.7
"Farm-level cattle",8,"2003","2004","Mid point of prediction interval",-1.5
"Farm-level cattle",8,"2003","2004","Upper bound of prediction interval",24.4
"Farm-level cattle",9,"2003","2004","Lower bound of prediction interval",-19.1
"Farm-level cattle",9,"2003","2004","Mid point of prediction interval",1.3
"Farm-level cattle",9,"2003","2004","Upper bound of prediction interval",26.5
"Farm-level cattle",10,"2003","2004","Lower bound of prediction interval",-11.9
"Farm-level cattle",10,"2003","2004","Mid point of prediction interval",9.7
"Farm-level cattle",10,"2003","2004","Upper bound of prediction interval",36.7
"Farm-level cattle",11,"2003","2004","Lower bound of prediction interval",3.1
"Farm-level cattle",11,"2003","2004","Mid point of prediction interval",29.1
"Farm-level cattle",11,"2003","2004","Upper bound of prediction interval",61.8
"Farm-level cattle",12,"2003","2004","Lower bound of prediction interval",-4.2
"Farm-level cattle",12,"2003","2004","Mid point of prediction interval",17.1
"Farm-level cattle",12,"2003","2004","Upper bound of prediction interval",43.4
"Farm-level cattle",1,"2004","2004","Lower bound of prediction interval",-5.6
"Farm-level cattle",1,"2004","2004","Mid point of prediction interval",14
"Farm-level cattle",1,"2004","2004","Upper bound of prediction interval",38.2
"Farm-level cattle",2,"2004","2004","Lower bound of prediction interval",-13.3
"Farm-level cattle",2,"2004","2004","Mid point of prediction interval",-1.6
"Farm-level cattle",2,"2004","2004","Upper bound of prediction interval",12.2
"Farm-level cattle",3,"2004","2004","Lower bound of prediction interval",-12.8
"Farm-level cattle",3,"2004","2004","Mid point of prediction interval",-2.8
"Farm-level cattle",3,"2004","2004","Upper bound of prediction interval",9.2
"Farm-level cattle",4,"2004","2004","Lower bound of prediction interval",-4.5
"Farm-level cattle",4,"2004","2004","Mid point of prediction interval",5
"Farm-level cattle",4,"2004","2004","Upper bound of prediction interval",16
"Farm-level cattle",5,"2004","2004","Lower bound of prediction interval",-6.5
"Farm-level cattle",5,"2004","2004","Mid point of prediction interval",1.2
"Farm-level cattle",5,"2004","2004","Upper bound of prediction interval",10.3
"Farm-level cattle",6,"2004","2004","Lower bound of prediction interval",-5.2
"Farm-level cattle",6,"2004","2004","Mid point of prediction interval",1.5
"Farm-level cattle",6,"2004","2004","Upper bound of prediction interval",9.3
"Farm-level cattle",7,"2004","2004","Lower bound of prediction interval",-2.3
"Farm-level cattle",7,"2004","2004","Mid point of prediction interval",3.4
"Farm-level cattle",7,"2004","2004","Upper bound of prediction interval",10.1
"Farm-level cattle",8,"2004","2004","Lower bound of prediction interval",-2.7
"Farm-level cattle",8,"2004","2004","Mid point of prediction interval",1.8
"Farm-level cattle",8,"2004","2004","Upper bound of prediction interval",7
"Farm-level cattle",9,"2004","2004","Lower bound of prediction interval",-1.5
"Farm-level cattle",9,"2004","2004","Mid point of prediction interval",2.1
"Farm-level cattle",9,"2004","2004","Upper bound of prediction interval",6.3
"Farm-level cattle",10,"2004","2004","Lower bound of prediction interval",-0.3
"Farm-level cattle",10,"2004","2004","Mid point of prediction interval",2.3
"Farm-level cattle",10,"2004","2004","Upper bound of prediction interval",5.2
"Farm-level cattle",11,"2004","2004","Lower bound of prediction interval",0.4
"Farm-level cattle",11,"2004","2004","Mid point of prediction interval",2
"Farm-level cattle",11,"2004","2004","Upper bound of prediction interval",3.6
"Farm-level cattle",12,"2004","2004","Lower bound of prediction interval",0.7
"Farm-level cattle",12,"2004","2004","Mid point of prediction interval",1.3
"Farm-level cattle",12,"2004","2004","Upper bound of prediction interval",2
"Wholesale beef",7,"2003","2004","Lower bound of prediction interval",-10.8
"Wholesale beef",7,"2003","2004","Mid point of prediction interval",5
"Wholesale beef",7,"2003","2004","Upper bound of prediction interval",23.4
"Wholesale beef",8,"2003","2004","Lower bound of prediction interval",-15.5
"Wholesale beef",8,"2003","2004","Mid point of prediction interval",-0.9
"Wholesale beef",8,"2003","2004","Upper bound of prediction interval",16
"Wholesale beef",9,"2003","2004","Lower bound of prediction interval",-11.2
"Wholesale beef",9,"2003","2004","Mid point of prediction interval",3.1
"Wholesale beef",9,"2003","2004","Upper bound of prediction interval",19.7
"Wholesale beef",10,"2003","2004","Lower bound of prediction interval",-7.4
"Wholesale beef",10,"2003","2004","Mid point of prediction interval",6.7
"Wholesale beef",10,"2003","2004","Upper bound of prediction interval",22.9
"Wholesale beef",11,"2003","2004","Lower bound of prediction interval",3.1
"Wholesale beef",11,"2003","2004","Mid point of prediction interval",18.6
"Wholesale beef",11,"2003","2004","Upper bound of prediction interval",37.7
"Wholesale beef",12,"2003","2004","Lower bound of prediction interval",0.7
"Wholesale beef",12,"2003","2004","Mid point of prediction interval",14.9
"Wholesale beef",12,"2003","2004","Upper bound of prediction interval",31.5
"Wholesale beef",1,"2004","2004","Lower bound of prediction interval",-4
"Wholesale beef",1,"2004","2004","Mid point of prediction interval",8.5
"Wholesale beef",1,"2004","2004","Upper bound of prediction interval",23
"Wholesale beef",2,"2004","2004","Lower bound of prediction interval",-13.1
"Wholesale beef",2,"2004","2004","Mid point of prediction interval",-3
"Wholesale beef",2,"2004","2004","Upper bound of prediction interval",8.7
"Wholesale beef",3,"2004","2004","Lower bound of prediction interval",-14.2
"Wholesale beef",3,"2004","2004","Mid point of prediction interval",-5.6
"Wholesale beef",3,"2004","2004","Upper bound of prediction interval",4.5
"Wholesale beef",4,"2004","2004","Lower bound of prediction interval",-10
"Wholesale beef",4,"2004","2004","Mid point of prediction interval",-2.2
"Wholesale beef",4,"2004","2004","Upper bound of prediction interval",6.7
"Wholesale beef",5,"2004","2004","Lower bound of prediction interval",-4.4
"Wholesale beef",5,"2004","2004","Mid point of prediction interval",2.8
"Wholesale beef",5,"2004","2004","Upper bound of prediction interval",11.1
"Wholesale beef",6,"2004","2004","Lower bound of prediction interval",0.6
"Wholesale beef",6,"2004","2004","Mid point of prediction interval",7
"Wholesale beef",6,"2004","2004","Upper bound of prediction interval",14.3
"Wholesale beef",7,"2004","2004","Lower bound of prediction interval",2.4
"Wholesale beef",7,"2004","2004","Mid point of prediction interval",7.6
"Wholesale beef",7,"2004","2004","Upper bound of prediction interval",13.5
"Wholesale beef",8,"2004","2004","Lower bound of prediction interval",-0.8
"Wholesale beef",8,"2004","2004","Mid point of prediction interval",2.8
"Wholesale beef",8,"2004","2004","Upper bound of prediction interval",6.8
"Wholesale beef",9,"2004","2004","Lower bound of prediction interval",-0.2
"Wholesale beef",9,"2004","2004","Mid point of prediction interval",2.7
"Wholesale beef",9,"2004","2004","Upper bound of prediction interval",5.8
"Wholesale beef",10,"2004","2004","Lower bound of prediction interval",0.3
"Wholesale beef",10,"2004","2004","Mid point of prediction interval",2.3
"Wholesale beef",10,"2004","2004","Upper bound of prediction interval",4.5
"Wholesale beef",11,"2004","2004","Lower bound of prediction interval",1.4
"Wholesale beef",11,"2004","2004","Mid point of prediction interval",2.6
"Wholesale beef",11,"2004","2004","Upper bound of prediction interval",4
"Wholesale beef",12,"2004","2004","Lower bound of prediction interval",1.6
"Wholesale beef",12,"2004","2004","Mid point of prediction interval",2.1
"Wholesale beef",12,"2004","2004","Upper bound of prediction interval",2.7
"Wholesale pork",7,"2003","2004","Lower bound of prediction interval",-16.7
"Wholesale pork",7,"2003","2004","Mid point of prediction interval",-2
"Wholesale pork",7,"2003","2004","Upper bound of prediction interval",15.2
"Wholesale pork",8,"2003","2004","Lower bound of prediction interval",-13.8
"Wholesale pork",8,"2003","2004","Mid point of prediction interval",0.9
"Wholesale pork",8,"2003","2004","Upper bound of prediction interval",18.2
"Wholesale pork",9,"2003","2004","Lower bound of prediction interval",-15.8
"Wholesale pork",9,"2003","2004","Mid point of prediction interval",-2
"Wholesale pork",9,"2003","2004","Upper bound of prediction interval",14.7
"Wholesale pork",10,"2003","2004","Lower bound of prediction interval",-15
"Wholesale pork",10,"2003","2004","Mid point of prediction interval",-1.8
"Wholesale pork",10,"2003","2004","Upper bound of prediction interval",13.5
"Wholesale pork",11,"2003","2004","Lower bound of prediction interval",-14.1
"Wholesale pork",11,"2003","2004","Mid point of prediction interval",-1.3
"Wholesale pork",11,"2003","2004","Upper bound of prediction interval",13.8
"Wholesale pork",12,"2003","2004","Lower bound of prediction interval",-14.3
"Wholesale pork",12,"2003","2004","Mid point of prediction interval",-2.2
"Wholesale pork",12,"2003","2004","Upper bound of prediction interval",11.8
"Wholesale pork",1,"2004","2004","Lower bound of prediction interval",-14.4
"Wholesale pork",1,"2004","2004","Mid point of prediction interval",-3.5
"Wholesale pork",1,"2004","2004","Upper bound of prediction interval",9.2
"Wholesale pork",2,"2004","2004","Lower bound of prediction interval",-13.6
"Wholesale pork",2,"2004","2004","Mid point of prediction interval",-3.6
"Wholesale pork",2,"2004","2004","Upper bound of prediction interval",8.3
"Wholesale pork",3,"2004","2004","Lower bound of prediction interval",-9.3
"Wholesale pork",3,"2004","2004","Mid point of prediction interval",0.2
"Wholesale pork",3,"2004","2004","Upper bound of prediction interval",10.9
"Wholesale pork",4,"2004","2004","Lower bound of prediction interval",-6.1
"Wholesale pork",4,"2004","2004","Mid point of prediction interval",5.2
"Wholesale pork",4,"2004","2004","Upper bound of prediction interval",18.9
"Wholesale pork",5,"2004","2004","Lower bound of prediction interval",-2.5
"Wholesale pork",5,"2004","2004","Mid point of prediction interval",7.4
"Wholesale pork",5,"2004","2004","Upper bound of prediction interval",19.6
"Wholesale pork",6,"2004","2004","Lower bound of prediction interval",3.7
"Wholesale pork",6,"2004","2004","Mid point of prediction interval",12.7
"Wholesale pork",6,"2004","2004","Upper bound of prediction interval",23.4
"Wholesale pork",7,"2004","2004","Lower bound of prediction interval",7.4
"Wholesale pork",7,"2004","2004","Mid point of prediction interval",14.9
"Wholesale pork",7,"2004","2004","Upper bound of prediction interval",23.7
"Wholesale pork",8,"2004","2004","Lower bound of prediction interval",9.9
"Wholesale pork",8,"2004","2004","Mid point of prediction interval",15.8
"Wholesale pork",8,"2004","2004","Upper bound of prediction interval",22.7
"Wholesale pork",9,"2004","2004","Lower bound of prediction interval",11.7
"Wholesale pork",9,"2004","2004","Mid point of prediction interval",16.1
"Wholesale pork",9,"2004","2004","Upper bound of prediction interval",21.3
"Wholesale pork",10,"2004","2004","Lower bound of prediction interval",11.1
"Wholesale pork",10,"2004","2004","Mid point of prediction interval",14
"Wholesale pork",10,"2004","2004","Upper bound of prediction interval",17.3
"Wholesale pork",11,"2004","2004","Lower bound of prediction interval",13.1
"Wholesale pork",11,"2004","2004","Mid point of prediction interval",15
"Wholesale pork",11,"2004","2004","Upper bound of prediction interval",17
"Wholesale pork",12,"2004","2004","Lower bound of prediction interval",13.8
"Wholesale pork",12,"2004","2004","Mid point of prediction interval",14.7
"Wholesale pork",12,"2004","2004","Upper bound of prediction interval",15.6
"Wholesale poultry",7,"2003","2004","Lower bound of prediction interval",-6.9
"Wholesale poultry",7,"2003","2004","Mid point of prediction interval",-0.4
"Wholesale poultry",7,"2003","2004","Upper bound of prediction interval",6.5
"Wholesale poultry",8,"2003","2004","Lower bound of prediction interval",-6.3
"Wholesale poultry",8,"2003","2004","Mid point of prediction interval",0.3
"Wholesale poultry",8,"2003","2004","Upper bound of prediction interval",7.3
"Wholesale poultry",9,"2003","2004","Lower bound of prediction interval",-6.3
"Wholesale poultry",9,"2003","2004","Mid point of prediction interval",0
"Wholesale poultry",9,"2003","2004","Upper bound of prediction interval",6.8
"Wholesale poultry",10,"2003","2004","Lower bound of prediction interval",-6.2
"Wholesale poultry",10,"2003","2004","Mid point of prediction interval",0.2
"Wholesale poultry",10,"2003","2004","Upper bound of prediction interval",7
"Wholesale poultry",11,"2003","2004","Lower bound of prediction interval",-6.6
"Wholesale poultry",11,"2003","2004","Mid point of prediction interval",-0.4
"Wholesale poultry",11,"2003","2004","Upper bound of prediction interval",6.2
"Wholesale poultry",12,"2003","2004","Lower bound of prediction interval",-5.9
"Wholesale poultry",12,"2003","2004","Mid point of prediction interval",0.2
"Wholesale poultry",12,"2003","2004","Upper bound of prediction interval",6.6
"Wholesale poultry",1,"2004","2004","Lower bound of prediction interval",-3.5
"Wholesale poultry",1,"2004","2004","Mid point of prediction interval",5.3
"Wholesale poultry",1,"2004","2004","Upper bound of prediction interval",15.3
"Wholesale poultry",2,"2004","2004","Lower bound of prediction interval",-2.6
"Wholesale poultry",2,"2004","2004","Mid point of prediction interval",5.2
"Wholesale poultry",2,"2004","2004","Upper bound of prediction interval",14
"Wholesale poultry",3,"2004","2004","Lower bound of prediction interval",7.1
"Wholesale poultry",3,"2004","2004","Mid point of prediction interval",14.9
"Wholesale poultry",3,"2004","2004","Upper bound of prediction interval",23.7
"Wholesale poultry",4,"2004","2004","Lower bound of prediction interval",6.6
"Wholesale poultry",4,"2004","2004","Mid point of prediction interval",13.4
"Wholesale poultry",4,"2004","2004","Upper bound of prediction interval",20.9
"Wholesale poultry",5,"2004","2004","Lower bound of prediction interval",8.4
"Wholesale poultry",5,"2004","2004","Mid point of prediction interval",13.9
"Wholesale poultry",5,"2004","2004","Upper bound of prediction interval",20.1
"Wholesale poultry",6,"2004","2004","Lower bound of prediction interval",12.3
"Wholesale poultry",6,"2004","2004","Mid point of prediction interval",17
"Wholesale poultry",6,"2004","2004","Upper bound of prediction interval",22.3
"Wholesale poultry",7,"2004","2004","Lower bound of prediction interval",12.1
"Wholesale poultry",7,"2004","2004","Mid point of prediction interval",15.9
"Wholesale poultry",7,"2004","2004","Upper bound of prediction interval",20
"Wholesale poultry",8,"2004","2004","Lower bound of prediction interval",12.5
"Wholesale poultry",8,"2004","2004","Mid point of prediction interval",15.4
"Wholesale poultry",8,"2004","2004","Upper bound of prediction interval",18.4
"Wholesale poultry",9,"2004","2004","Lower bound of prediction interval",11.6
"Wholesale poultry",9,"2004","2004","Mid point of prediction interval",13.6
"Wholesale poultry",9,"2004","2004","Upper bound of prediction interval",15.7
"Wholesale poultry",10,"2004","2004","Lower bound of prediction interval",10.8
"Wholesale poultry",10,"2004","2004","Mid point of prediction interval",12.1
"Wholesale poultry",10,"2004","2004","Upper bound of prediction interval",13.5
"Wholesale poultry",11,"2004","2004","Lower bound of prediction interval",10.8
"Wholesale poultry",11,"2004","2004","Mid point of prediction interval",11.6
"Wholesale poultry",11,"2004","2004","Upper bound of prediction interval",12.3
"Wholesale poultry",12,"2004","2004","Lower bound of prediction interval",11.3
"Wholesale poultry",12,"2004","2004","Mid point of prediction interval",11.7
"Wholesale poultry",12,"2004","2004","Upper bound of prediction interval",12
"Farm-level eggs",7,"2003","2004","Lower bound of prediction interval",-44.2
"Farm-level eggs",7,"2003","2004","Mid point of prediction interval",-4.9
"Farm-level eggs",7,"2003","2004","Upper bound of prediction interval",62.1
"Farm-level eggs",8,"2003","2004","Lower bound of prediction interval",-37.9
"Farm-level eggs",8,"2003","2004","Mid point of prediction interval",3.9
"Farm-level eggs",8,"2003","2004","Upper bound of prediction interval",73
"Farm-level eggs",9,"2003","2004","Lower bound of prediction interval",-28.2
"Farm-level eggs",9,"2003","2004","Mid point of prediction interval",16.4
"Farm-level eggs",9,"2003","2004","Upper bound of prediction interval",91.3
"Farm-level eggs",10,"2003","2004","Lower bound of prediction interval",-20.3
"Farm-level eggs",10,"2003","2004","Mid point of prediction interval",-0.9
"Farm-level eggs",10,"2003","2004","Upper bound of prediction interval",23.8
"Farm-level eggs",11,"2003","2004","Lower bound of prediction interval",-21.6
"Farm-level eggs",11,"2003","2004","Mid point of prediction interval",-1.7
"Farm-level eggs",11,"2003","2004","Upper bound of prediction interval",23.4
"Farm-level eggs",12,"2003","2004","Lower bound of prediction interval",-18.9
"Farm-level eggs",12,"2003","2004","Mid point of prediction interval",2.1
"Farm-level eggs",12,"2003","2004","Upper bound of prediction interval",28.7
"Farm-level eggs",1,"2004","2004","Lower bound of prediction interval",-17.1
"Farm-level eggs",1,"2004","2004","Mid point of prediction interval",3.9
"Farm-level eggs",1,"2004","2004","Upper bound of prediction interval",30.8
"Farm-level eggs",2,"2004","2004","Lower bound of prediction interval",-15.2
"Farm-level eggs",2,"2004","2004","Mid point of prediction interval",3.5
"Farm-level eggs",2,"2004","2004","Upper bound of prediction interval",27.4
"Farm-level eggs",3,"2004","2004","Lower bound of prediction interval",-9.1
"Farm-level eggs",3,"2004","2004","Mid point of prediction interval",8.9
"Farm-level eggs",3,"2004","2004","Upper bound of prediction interval",31.8
"Farm-level eggs",4,"2004","2004","Lower bound of prediction interval",3.1
"Farm-level eggs",4,"2004","2004","Mid point of prediction interval",22.1
"Farm-level eggs",4,"2004","2004","Upper bound of prediction interval",47.1
"Farm-level eggs",5,"2004","2004","Lower bound of prediction interval",-2.7
"Farm-level eggs",5,"2004","2004","Mid point of prediction interval",11.5
"Farm-level eggs",5,"2004","2004","Upper bound of prediction interval",29.4
"Farm-level eggs",6,"2004","2004","Lower bound of prediction interval",-10
"Farm-level eggs",6,"2004","2004","Mid point of prediction interval",0.2
"Farm-level eggs",6,"2004","2004","Upper bound of prediction interval",13.4
"Farm-level eggs",7,"2004","2004","Lower bound of prediction interval",-9.3
"Farm-level eggs",7,"2004","2004","Mid point of prediction interval",-0.6
"Farm-level eggs",7,"2004","2004","Upper bound of prediction interval",10.3
"Farm-level eggs",8,"2004","2004","Lower bound of prediction interval",-9.9
"Farm-level eggs",8,"2004","2004","Mid point of prediction interval",-3.2
"Farm-level eggs",8,"2004","2004","Upper bound of prediction interval",5.3
"Farm-level eggs",9,"2004","2004","Lower bound of prediction interval",-10.1
"Farm-level eggs",9,"2004","2004","Mid point of prediction interval",-5
"Farm-level eggs",9,"2004","2004","Upper bound of prediction interval",1.4
"Farm-level eggs",10,"2004","2004","Lower bound of prediction interval",-10.3
"Farm-level eggs",10,"2004","2004","Mid point of prediction interval",-6.6
"Farm-level eggs",10,"2004","2004","Upper bound of prediction interval",-2.1
"Farm-level eggs",11,"2004","2004","Lower bound of prediction interval",-10.1
"Farm-level eggs",11,"2004","2004","Mid point of prediction interval",-7.9
"Farm-level eggs",11,"2004","2004","Upper bound of prediction interval",-5
"Farm-level eggs",12,"2004","2004","Lower bound of prediction interval",-9.4
"Farm-level eggs",12,"2004","2004","Mid point of prediction interval",-8.1
"Farm-level eggs",12,"2004","2004","Upper bound of prediction interval",-6.5
"Farm-level milk",7,"2003","2004","Lower bound of prediction interval",-6
"Farm-level milk",7,"2003","2004","Mid point of prediction interval",9.7
"Farm-level milk",7,"2003","2004","Upper bound of prediction interval",28.2
"Farm-level milk",8,"2003","2004","Lower bound of prediction interval",-7.1
"Farm-level milk",8,"2003","2004","Mid point of prediction interval",7.7
"Farm-level milk",8,"2003","2004","Upper bound of prediction interval",24.8
"Farm-level milk",9,"2003","2004","Lower bound of prediction interval",-5.8
"Farm-level milk",9,"2003","2004","Mid point of prediction interval",8.7
"Farm-level milk",9,"2003","2004","Upper bound of prediction interval",25.9
"Farm-level milk",10,"2003","2004","Lower bound of prediction interval",-5.5
"Farm-level milk",10,"2003","2004","Mid point of prediction interval",9.3
"Farm-level milk",10,"2003","2004","Upper bound of prediction interval",26.2
"Farm-level milk",11,"2003","2004","Lower bound of prediction interval",-6.4
"Farm-level milk",11,"2003","2004","Mid point of prediction interval",7.8
"Farm-level milk",11,"2003","2004","Upper bound of prediction interval",24.3
"Farm-level milk",12,"2003","2004","Lower bound of prediction interval",-9.6
"Farm-level milk",12,"2003","2004","Mid point of prediction interval",3.5
"Farm-level milk",12,"2003","2004","Upper bound of prediction interval",18.5
"Farm-level milk",1,"2004","2004","Lower bound of prediction interval",-14.1
"Farm-level milk",1,"2004","2004","Mid point of prediction interval",3.4
"Farm-level milk",1,"2004","2004","Upper bound of prediction interval",24.5
"Farm-level milk",2,"2004","2004","Lower bound of prediction interval",-10.3
"Farm-level milk",2,"2004","2004","Mid point of prediction interval",5.5
"Farm-level milk",2,"2004","2004","Upper bound of prediction interval",24.9
"Farm-level milk",3,"2004","2004","Lower bound of prediction interval",-3.5
"Farm-level milk",3,"2004","2004","Mid point of prediction interval",8.4
"Farm-level milk",3,"2004","2004","Upper bound of prediction interval",22.5
"Farm-level milk",4,"2004","2004","Lower bound of prediction interval",12.1
"Farm-level milk",4,"2004","2004","Mid point of prediction interval",27.8
"Farm-level milk",4,"2004","2004","Upper bound of prediction interval",46.4
"Farm-level milk",5,"2004","2004","Lower bound of prediction interval",26.8
"Farm-level milk",5,"2004","2004","Mid point of prediction interval",45.9
"Farm-level milk",5,"2004","2004","Upper bound of prediction interval",70.3
"Farm-level milk",6,"2004","2004","Lower bound of prediction interval",23.7
"Farm-level milk",6,"2004","2004","Mid point of prediction interval",37.7
"Farm-level milk",6,"2004","2004","Upper bound of prediction interval",55
"Farm-level milk",7,"2004","2004","Lower bound of prediction interval",18.1
"Farm-level milk",7,"2004","2004","Mid point of prediction interval",28
"Farm-level milk",7,"2004","2004","Upper bound of prediction interval",39.8
"Farm-level milk",8,"2004","2004","Lower bound of prediction interval",16.6
"Farm-level milk",8,"2004","2004","Mid point of prediction interval",23.9
"Farm-level milk",8,"2004","2004","Upper bound of prediction interval",32.8
"Farm-level milk",9,"2004","2004","Lower bound of prediction interval",23
"Farm-level milk",9,"2004","2004","Mid point of prediction interval",28.9
"Farm-level milk",9,"2004","2004","Upper bound of prediction interval",35.7
"Farm-level milk",10,"2004","2004","Lower bound of prediction interval",28
"Farm-level milk",10,"2004","2004","Mid point of prediction interval",32.1
"Farm-level milk",10,"2004","2004","Upper bound of prediction interval",36.8
"Farm-level milk",11,"2004","2004","Lower bound of prediction interval",24.9
"Farm-level milk",11,"2004","2004","Mid point of prediction interval",26.6
"Farm-level milk",11,"2004","2004","Upper bound of prediction interval",28.6
"Farm-level milk",12,"2004","2004","Lower bound of prediction interval",27.2
"Farm-level milk",12,"2004","2004","Mid point of prediction interval",28
"Farm-level milk",12,"2004","2004","Upper bound of prediction interval",28.8
"Wholesale dairy",7,"2003","2004","Lower bound of prediction interval",-15.1
"Wholesale dairy",7,"2003","2004","Mid point of prediction interval",0
"Wholesale dairy",7,"2003","2004","Upper bound of prediction interval",18.1
"Wholesale dairy",8,"2003","2004","Lower bound of prediction interval",-11.7
"Wholesale dairy",8,"2003","2004","Mid point of prediction interval",3.2
"Wholesale dairy",8,"2003","2004","Upper bound of prediction interval",20.5
"Wholesale dairy",9,"2003","2004","Lower bound of prediction interval",-8.4
"Wholesale dairy",9,"2003","2004","Mid point of prediction interval",6.3
"Wholesale dairy",9,"2003","2004","Upper bound of prediction interval",23.8
"Wholesale dairy",10,"2003","2004","Lower bound of prediction interval",-6.6
"Wholesale dairy",10,"2003","2004","Mid point of prediction interval",7.6
"Wholesale dairy",10,"2003","2004","Upper bound of prediction interval",24
"Wholesale dairy",11,"2003","2004","Lower bound of prediction interval",-5.5
"Wholesale dairy",11,"2003","2004","Mid point of prediction interval",7.5
"Wholesale dairy",11,"2003","2004","Upper bound of prediction interval",22.5
"Wholesale dairy",12,"2003","2004","Lower bound of prediction interval",-8.6
"Wholesale dairy",12,"2003","2004","Mid point of prediction interval",2.7
"Wholesale dairy",12,"2003","2004","Upper bound of prediction interval",15.6
"Wholesale dairy",1,"2004","2004","Lower bound of prediction interval",-7.5
"Wholesale dairy",1,"2004","2004","Mid point of prediction interval",2.6
"Wholesale dairy",1,"2004","2004","Upper bound of prediction interval",14.2
"Wholesale dairy",2,"2004","2004","Lower bound of prediction interval",-7.5
"Wholesale dairy",2,"2004","2004","Mid point of prediction interval",1.1
"Wholesale dairy",2,"2004","2004","Upper bound of prediction interval",11
"Wholesale dairy",3,"2004","2004","Lower bound of prediction interval",-4.8
"Wholesale dairy",3,"2004","2004","Mid point of prediction interval",3.1
"Wholesale dairy",3,"2004","2004","Upper bound of prediction interval",11.6
"Wholesale dairy",4,"2004","2004","Lower bound of prediction interval",1.3
"Wholesale dairy",4,"2004","2004","Mid point of prediction interval",8.3
"Wholesale dairy",4,"2004","2004","Upper bound of prediction interval",16.3
"Wholesale dairy",5,"2004","2004","Lower bound of prediction interval",11.1
"Wholesale dairy",5,"2004","2004","Mid point of prediction interval",18.5
"Wholesale dairy",5,"2004","2004","Upper bound of prediction interval",26.7
"Wholesale dairy",6,"2004","2004","Lower bound of prediction interval",14
"Wholesale dairy",6,"2004","2004","Mid point of prediction interval",20.3
"Wholesale dairy",6,"2004","2004","Upper bound of prediction interval",27.2
"Wholesale dairy",7,"2004","2004","Lower bound of prediction interval",11
"Wholesale dairy",7,"2004","2004","Mid point of prediction interval",15.5
"Wholesale dairy",7,"2004","2004","Upper bound of prediction interval",20.6
"Wholesale dairy",8,"2004","2004","Lower bound of prediction interval",6.9
"Wholesale dairy",8,"2004","2004","Mid point of prediction interval",10
"Wholesale dairy",8,"2004","2004","Upper bound of prediction interval",13.3
"Wholesale dairy",9,"2004","2004","Lower bound of prediction interval",9.2
"Wholesale dairy",9,"2004","2004","Mid point of prediction interval",11.5
"Wholesale dairy",9,"2004","2004","Upper bound of prediction interval",13.9
"Wholesale dairy",10,"2004","2004","Lower bound of prediction interval",11.2
"Wholesale dairy",10,"2004","2004","Mid point of prediction interval",12.8
"Wholesale dairy",10,"2004","2004","Upper bound of prediction interval",14.5
"Wholesale dairy",11,"2004","2004","Lower bound of prediction interval",10.7
"Wholesale dairy",11,"2004","2004","Mid point of prediction interval",11.6
"Wholesale dairy",11,"2004","2004","Upper bound of prediction interval",12.5
"Wholesale dairy",12,"2004","2004","Lower bound of prediction interval",11.4
"Wholesale dairy",12,"2004","2004","Mid point of prediction interval",11.8
"Wholesale dairy",12,"2004","2004","Upper bound of prediction interval",12.1
"Farm-level soybeans",7,"2003","2004","Lower bound of prediction interval",-30.8
